(1.1) Sub-Category from Category Set,(1.2) Sub-Category from Category Set,All-in-one Calc (1),All-in-one Calc (2),All-in-one Calc (3),Category,Colour by Category Level,Manufacturer,Order Date,Product Name,Sub-Category,Sales
,Technology,False,False,Technology,Technology,Category,Other,25/11/2021,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,Phones,299.96
,Technology,False,False,Technology,Technology,Category,Other,26/11/2021,Innergie mMini Combo Duo USB Travel Charging Kit,Phones,89.98
,Technology,False,False,Technology,Technology,Category,Samsung,26/11/2021,Samsung Galaxy S4 Mini,Phones,1879.96
,Technology,False,False,Technology,Technology,Category,Cisco,01/12/2021,Cisco SPA112 2 Port Phone Adapter,Phones,219.8
,Technology,False,False,Technology,Technology,Category,ClearOne,02/12/2021,ClearOne CHATAttach 160 - speaker phone,Phones,2479.96
,Technology,False,False,Technology,Technology,Category,Samsung,14/12/2021,Samsung HM1900 Bluetooth Headset,Phones,52.68
,Technology,False,False,Technology,Technology,Category,Other,02/03/2018,Hypercom P1300 Pinpad,Accessories,151.2
,Technology,False,False,Technology,Technology,Category,Logitech,05/03/2018,Logitech Wireless Gaming Headset G930,Accessories,479.97
,Technology,False,False,Technology,Technology,Category,Imation,06/04/2018,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Accessories,116.784
,Technology,False,False,Technology,Technology,Category,Logitech,28/04/2018,Logitech G600 MMO Gaming Mouse,Accessories,159.98
,Technology,False,False,Technology,Technology,Category,Logitech,21/06/2018,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Accessories,95.968
,Technology,False,False,Technology,Technology,Category,Sony,23/06/2018,Sony 64GB Class 10 Micro SDHC R40 Memory Card,Accessories,86.376
,Technology,False,False,Technology,Technology,Category,Other,23/07/2018,Case Logic 2.4GHz Wireless Keyboard,Accessories,99.98
,Technology,False,False,Technology,Technology,Category,Maxell,04/08/2018,Maxell 4.7GB DVD-R,Accessories,255.42
,Technology,False,False,Technology,Technology,Category,Logitech,06/08/2018,Logitech G700s Rechargeable Gaming Mouse,Accessories,199.98
,Technology,False,False,Technology,Technology,Category,Plantronics,26/08/2018,Plantronics Audio 478 Stereo USB Headset,Accessories,149.97
,Technology,False,False,Technology,Technology,Category,WD My Passport,01/09/2018,WD My Passport Ultra 2TB Portable External Hard Drive,Accessories,357
,Technology,False,False,Technology,Technology,Category,Other,09/09/2018,Rosewill 107 Normal Keys USB Wired Standard Keyboard,Accessories,64.704
,Technology,False,False,Technology,Technology,Category,Logitech,20/09/2018,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Accessories,59.98
,Technology,False,False,Technology,Technology,Category,Maxell,26/09/2018,Maxell CD-R Discs,Accessories,3.152
,Technology,False,False,Technology,Technology,Category,Logitech,03/10/2018,Logitech G105 Gaming Keyboard,Accessories,142.488
,Technology,False,False,Technology,Technology,Category,WD My Passport,14/10/2018,WD My Passport Ultra 500GB Portable External Hard Drive,Accessories,177
,Technology,False,False,Technology,Technology,Category,Memorex,25/10/2018,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",Accessories,40.776
,Technology,False,False,Technology,Technology,Category,Memorex,05/11/2018,Memorex Micro Travel Drive 32 GB,Accessories,58.416
,Technology,False,False,Technology,Technology,Category,Sony,05/11/2018,Sony 16GB Class 10 Micro SDHC R40 Memory Card,Accessories,51.56
,Technology,False,False,Technology,Technology,Category,Logitech,19/11/2018,Logitech G105 Gaming Keyboard,Accessories,47.496
,Technology,False,False,Technology,Technology,Category,Imation,02/12/2018,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,Accessories,119.8
,Technology,False,False,Technology,Technology,Category,Plantronics,14/12/2018,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Accessories,263.96
,Technology,False,False,Technology,Technology,Category,Maxell,30/12/2018,"Maxell Pro 80 Minute CD-R, 10/Pack",Accessories,27.968
,Technology,False,False,Technology,Technology,Category,Imation,31/12/2018,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,Accessories,113.97
,Technology,False,False,Technology,Technology,Category,Plantronics,31/12/2018,Plantronics Savi W720 Multi-Device Wireless Headset System,Accessories,1687.8
,Technology,False,False,Technology,Technology,Category,Verbatim,31/12/2018,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Accessories,34.77
,Technology,False,False,Technology,Technology,Category,SanDisk,12/01/2019,SanDisk Cruzer 4 GB USB Flash Drive,Accessories,10.384
,Technology,False,False,Technology,Technology,Category,Belkin,14/02/2019,Belkin F8E887 USB Wired Ergonomic Keyboard,Accessories,71.976
,Technology,False,False,Technology,Technology,Category,Sony,05/03/2019,Sony 16GB Class 10 Micro SDHC R40 Memory Card,Accessories,10.312
,Technology,False,False,Technology,Technology,Category,Microsoft,07/03/2019,Microsoft Sculpt Comfort Mouse,Accessories,119.85
,Technology,False,False,Technology,Technology,Category,KeyTronic,17/03/2019,KeyTronic KT800P2 - Keyboard - Black,Accessories,15.02
,Technology,False,False,Technology,Technology,Category,Verbatim,26/03/2019,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Accessories,16.776
,Technology,False,False,Technology,Technology,Category,Enermax,17/04/2019,Enermax Acrylux Wireless Keyboard,Accessories,99.6
,Technology,False,False,Technology,Technology,Category,SanDisk,03/05/2019,SanDisk Cruzer 16 GB USB Flash Drive,Accessories,27.552
,Technology,False,False,Technology,Technology,Category,Other,13/06/2019,Lenovo 17-Key USB Numeric Keypad,Accessories,67.98
,Technology,False,False,Technology,Technology,Category,Razer,20/06/2019,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,Accessories,319.984
,Technology,False,False,Technology,Technology,Category,HP,05/07/2019,HP Standard 104 key PS/2 Keyboard,Accessories,34.8
,Technology,False,False,Technology,Technology,Category,Kensington,16/07/2019,Kensington Orbit Wireless Mobile Trackball for PC and Mac,Accessories,599.9
,Technology,False,False,Technology,Technology,Category,Plantronics,31/07/2019,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Accessories,2309.65
,Technology,False,False,Technology,Technology,Category,Logitech,02/08/2019,Logitech G700s Rechargeable Gaming Mouse,Accessories,199.98
,Technology,False,False,Technology,Technology,Category,Logitech,08/08/2019,Logitech G600 MMO Gaming Mouse,Accessories,79.99
,Technology,False,False,Technology,Technology,Category,Belkin,09/08/2019,Belkin QODE FastFit Bluetooth Keyboard,Accessories,247.8
,Technology,False,False,Technology,Technology,Category,SanDisk,16/08/2019,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,Accessories,31.176
,Technology,False,False,Technology,Technology,Category,Other,21/08/2019,Sabrent 4-Port USB 2.0 Hub,Accessories,21.728
,Technology,False,False,Technology,Technology,Category,Memorex,24/08/2019,Memorex Micro Travel Drive 8 GB,Accessories,26
,Technology,False,False,Technology,Technology,Category,KeyTronic,07/09/2019,KeyTronic E03601U1 - Keyboard - Beige,Accessories,90
,Technology,False,False,Technology,Technology,Category,Razer,07/09/2019,Razer Kraken PRO Over Ear PC and Music Headset,Accessories,559.93
,Technology,False,False,Technology,Technology,Category,Logitech,11/09/2019,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Accessories,19.99
,Technology,False,False,Technology,Technology,Category,Plantronics,17/09/2019,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Accessories,659.9
,Technology,False,False,Technology,Technology,Category,Logitech,22/09/2019,Logitech P710e Mobile Speakerphone,Accessories,617.976
,Technology,False,False,Technology,Technology,Category,Memorex,25/09/2019,Memorex Micro Travel Drive 16 GB,Accessories,63.96
,Technology,False,False,Technology,Technology,Category,Razer,25/09/2019,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,Accessories,899.91
,Technology,False,False,Technology,Technology,Category,Other,26/09/2019,Dell Slim USB Multimedia Keyboard,Accessories,50
,Technology,False,False,Technology,Technology,Category,NETGEAR,02/10/2019,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,Accessories,90
,Technology,False,False,Technology,Technology,Category,NETGEAR,05/10/2019,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,Accessories,288
,Technology,False,False,Technology,Technology,Category,SanDisk,05/10/2019,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Accessories,53.04
,Technology,False,False,Technology,Technology,Category,Memorex,11/10/2019,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",Accessories,31.95
,Technology,False,False,Technology,Technology,Category,Razer,01/11/2019,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,Accessories,1399.93
,Technology,False,False,Technology,Technology,Category,SanDisk,01/11/2019,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Accessories,35.36
,Technology,False,False,Technology,Technology,Category,Other,09/11/2019,AmazonBasics 3-Button USB Wired Mouse,Accessories,13.98
,Technology,False,False,Technology,Technology,Category,Logitech,09/11/2019,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),Accessories,899.95
,Technology,False,False,Technology,Technology,Category,Imation,14/11/2019,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,Accessories,59.9
,Technology,False,False,Technology,Technology,Category,Imation,14/11/2019,Imation Clip USB flash drive - 8 GB,Accessories,37.6
,Technology,False,False,Technology,Technology,Category,Micro Innovations,14/11/2019,Micro Innovations Wireless Classic Keyboard with Mouse,Accessories,47.984
,Technology,False,False,Technology,Technology,Category,Logitech,27/11/2019,Logitech G35 7.1-Channel Surround Sound Headset,Accessories,259.98
,Technology,False,False,Technology,Technology,Category,Other,27/11/2019,"Perixx PERIBOARD-512B, Ergonomic Split Keyboard",Accessories,104.97
,Technology,False,False,Technology,Technology,Category,Verbatim,03/12/2019,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Accessories,36.784
,Technology,False,False,Technology,Technology,Category,Belkin,05/12/2019,Belkin F8E887 USB Wired Ergonomic Keyboard,Accessories,47.984
,Technology,False,False,Technology,Technology,Category,Logitech,06/12/2019,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),Accessories,1619.91
,Technology,False,False,Technology,Technology,Category,Maxell,10/12/2019,Maxell 4.7GB DVD-RW 3/Pack,Accessories,25.488
,Technology,False,False,Technology,Technology,Category,Plantronics,15/12/2019,Plantronics Savi W720 Multi-Device Wireless Headset System,Accessories,2025.36
,Technology,False,False,Technology,Technology,Category,Imation,18/12/2019,Imation Bio 8GB USB Flash Drive Imation Corp,Accessories,166.24
,Technology,False,False,Technology,Technology,Category,Logitech,19/12/2019,Logitech diNovo Edge Keyboard,Accessories,2249.91
,Technology,False,False,Technology,Technology,Category,Plantronics,25/12/2019,Plantronics Savi W720 Multi-Device Wireless Headset System,Accessories,843.9
,Technology,False,False,Technology,Technology,Category,Logitech,15/01/2020,Logitech Gaming G510s - Keyboard,Accessories,254.97
,Technology,False,False,Technology,Technology,Category,Verbatim,22/01/2020,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Accessories,55.176
,Technology,False,False,Technology,Technology,Category,Logitech,23/01/2020,Logitech Wireless Marathon Mouse M705,Accessories,99.98
,Technology,False,False,Technology,Technology,Category,Logitech,16/02/2020,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Accessories,89.97
,Technology,False,False,Technology,Technology,Category,Logitech,04/03/2020,Logitech G602 Wireless Gaming Mouse,Accessories,159.98
,Technology,False,False,Technology,Technology,Category,Microsoft,09/03/2020,Microsoft Sculpt Comfort Mouse,Accessories,199.75
,Technology,False,False,Technology,Technology,Category,Plantronics,10/03/2020,Plantronics Audio 478 Stereo USB Headset,Accessories,39.992
,Technology,False,False,Technology,Technology,Category,Kensington,13/03/2020,Kensington Expert Mouse Optical USB Trackball for PC or Mac,Accessories,379.96
,Technology,False,False,Technology,Technology,Category,Other,15/03/2020,V7 USB Numeric Keypad,Accessories,83.976
,Technology,False,False,Technology,Technology,Category,Anker,31/03/2020,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,Accessories,31.984
,Technology,False,False,Technology,Technology,Category,Logitech,04/04/2020,Logitech Trackman Marble Mouse,Accessories,89.97
,Technology,False,False,Technology,Technology,Category,Imation,03/05/2020,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,Accessories,132.52
,Technology,False,False,Technology,Technology,Category,Logitech,03/05/2020,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),Accessories,431.976
,Technology,False,False,Technology,Technology,Category,SanDisk,07/05/2020,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Accessories,199.95
,Technology,False,False,Technology,Technology,Category,SanDisk,08/05/2020,SanDisk Cruzer 64 GB USB Flash Drive,Accessories,58.112
,Technology,False,False,Technology,Technology,Category,SanDisk,22/05/2020,SanDisk Cruzer 32 GB USB Flash Drive,Accessories,95.1
,Technology,False,False,Technology,Technology,Category,Razer,11/06/2020,Razer Kraken PRO Over Ear PC and Music Headset,Accessories,239.97
,Technology,False,False,Technology,Technology,Category,Other,26/06/2020,AmazonBasics 3-Button USB Wired Mouse,Accessories,20.97
,Technology,False,False,Technology,Technology,Category,Other,26/06/2020,"Perixx PERIBOARD-512B, Ergonomic Split Keyboard",Accessories,139.96
,Technology,False,False,Technology,Technology,Category,KeyTronic,01/07/2020,KeyTronic KT400U2 - Keyboard - Black,Accessories,30.84
,Technology,False,False,Technology,Technology,Category,Logitech,14/08/2020,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,Accessories,279.96
,Technology,False,False,Technology,Technology,Category,Logitech,26/08/2020,Logitech Trackman Marble Mouse,Accessories,47.984
,Technology,False,False,Technology,Technology,Category,Plantronics,26/08/2020,Plantronics Audio 478 Stereo USB Headset,Accessories,249.95
,Technology,False,False,Technology,Technology,Category,Enermax,01/09/2020,Enermax Aurora Lite Keyboard,Accessories,468.9
,Technology,False,False,Technology,Technology,Category,Memorex,01/09/2020,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,Accessories,72.48
,Technology,False,False,Technology,Technology,Category,Maxell,06/09/2020,Maxell 4.7GB DVD+RW 3/Pack,Accessories,31.86
,Technology,False,False,Technology,Technology,Category,Logitech,21/10/2020,Logitech Desktop MK120 Mouse and keyboard Combo,Accessories,98.16
,Technology,False,False,Technology,Technology,Category,NETGEAR,03/11/2020,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,Accessories,72
,Technology,False,False,Technology,Technology,Category,Plantronics,07/11/2020,Plantronics Audio 478 Stereo USB Headset,Accessories,119.976
,Technology,False,False,Technology,Technology,Category,Memorex,10/11/2020,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",Accessories,178.92
,Technology,False,False,Technology,Technology,Category,KeyTronic,11/11/2020,KeyTronic E03601U1 - Keyboard - Beige,Accessories,36
,Technology,False,False,Technology,Technology,Category,Other,11/11/2020,Micropad Numeric Keypads,Accessories,59.97
,Technology,False,False,Technology,Technology,Category,SanDisk,24/11/2020,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Accessories,88.4
,Technology,False,False,Technology,Technology,Category,Other,24/11/2020,V7 USB Numeric Keypad,Accessories,139.96
,Technology,False,False,Technology,Technology,Category,NETGEAR,25/11/2020,NETGEAR RangeMax WNR1000 Wireless Router,Accessories,59.976
,Technology,False,False,Technology,Technology,Category,Other,26/11/2020,Micropad Numeric Keypads,Accessories,59.97
,Technology,False,False,Technology,Technology,Category,Enermax,04/12/2020,Enermax Aurora Lite Keyboard,Accessories,78.15
,Technology,False,False,Technology,Technology,Category,Logitech,12/12/2020,Logitech G602 Wireless Gaming Mouse,Accessories,383.952
,Technology,False,False,Technology,Technology,Category,Belkin,26/12/2020,Belkin F8E887 USB Wired Ergonomic Keyboard,Accessories,89.97
,Technology,False,False,Technology,Technology,Category,Micro Innovations,27/12/2020,Micro Innovations USB RF Wireless Keyboard with Mouse,Accessories,40
,Technology,False,False,Technology,Technology,Category,Anker,27/01/2021,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,Accessories,71.976
,Technology,False,False,Technology,Technology,Category,Plantronics,28/01/2021,Plantronics Audio 478 Stereo USB Headset,Accessories,449.91
,Technology,False,False,Technology,Technology,Category,Plantronics,24/02/2021,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Accessories,1319.8
,Technology,False,False,Technology,Technology,Category,Logitech,07/03/2021,Logitech Desktop MK120 Mouse and keyboard Combo,Accessories,49.08
,Technology,False,False,Technology,Technology,Category,Memorex,11/03/2021,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Accessories,63.88
,Technology,False,False,Technology,Technology,Category,Logitech,16/03/2021,Logitech G700s Rechargeable Gaming Mouse,Accessories,159.984
,Technology,False,False,Technology,Technology,Category,Kingston,17/03/2021,Kingston Digital DataTraveler 16GB USB 2.0,Accessories,71.6
,Technology,False,False,Technology,Technology,Category,SanDisk,17/03/2021,SanDisk Cruzer 32 GB USB Flash Drive,Accessories,57.06
,Technology,False,False,Technology,Technology,Category,WD My Passport,20/03/2021,WD My Passport Ultra 2TB Portable External Hard Drive,Accessories,238
,Technology,False,False,Technology,Technology,Category,Memorex,24/03/2021,Memorex Micro Travel Drive 8 GB,Accessories,26
,Technology,False,False,Technology,Technology,Category,Logitech,10/04/2021,Logitech G700s Rechargeable Gaming Mouse,Accessories,99.99
,Technology,False,False,Technology,Technology,Category,Kingston,11/04/2021,Kingston Digital DataTraveler 32GB USB 2.0,Accessories,27.12
,Technology,False,False,Technology,Technology,Category,Other,24/04/2021,V7 USB Numeric Keypad,Accessories,69.98
,Technology,False,False,Technology,Technology,Category,Maxell,12/05/2021,"Maxell Pro 80 Minute CD-R, 10/Pack",Accessories,87.4
,Technology,False,False,Technology,Technology,Category,Belkin,14/05/2021,Belkin F8E887 USB Wired Ergonomic Keyboard,Accessories,89.97
,Technology,False,False,Technology,Technology,Category,KeyTronic,18/05/2021,KeyTronic KT800P2 - Keyboard - Black,Accessories,36.048
,Technology,False,False,Technology,Technology,Category,Imation,25/05/2021,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Accessories,120
,Technology,False,False,Technology,Technology,Category,Microsoft,12/06/2021,Microsoft Sculpt Comfort Mouse,Accessories,63.92
,Technology,False,False,Technology,Technology,Category,Logitech,16/06/2021,Logitech Wireless Performance Mouse MX for PC and Mac,Accessories,479.952
,Technology,False,False,Technology,Technology,Category,Kingston,17/06/2021,Kingston Digital DataTraveler 64GB USB 2.0,Accessories,101.34
,Technology,False,False,Technology,Technology,Category,Memorex,19/06/2021,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",Accessories,122.328
,Technology,False,False,Technology,Technology,Category,Other,03/07/2021,"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",Accessories,258.9
,Technology,False,False,Technology,Technology,Category,Other,07/07/2021,AmazonBasics 3-Button USB Wired Mouse,Accessories,16.776
,Technology,False,False,Technology,Technology,Category,Other,07/07/2021,Hypercom P1300 Pinpad,Accessories,252
,Technology,False,False,Technology,Technology,Category,Plantronics,07/07/2021,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Accessories,527.92
,Technology,False,False,Technology,Technology,Category,Maxell,08/07/2021,Maxell 4.7GB DVD-R,Accessories,141.9
,Technology,False,False,Technology,Technology,Category,SanDisk,11/07/2021,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Accessories,132.6
,Technology,False,False,Technology,Technology,Category,Sony,15/07/2021,Sony 32GB Class 10 Micro SDHC R40 Memory Card,Accessories,41.9
,Technology,False,False,Technology,Technology,Category,Verbatim,18/08/2021,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Accessories,23.18
,Technology,False,False,Technology,Technology,Category,Logitech,27/08/2021,Logitech Wireless Headset h800,Accessories,1119.888
,Technology,False,False,Technology,Technology,Category,Sony,02/09/2021,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Accessories,167.97
,Technology,False,False,Technology,Technology,Category,WD My Passport,02/09/2021,WD My Passport Ultra 2TB Portable External Hard Drive,Accessories,238
,Technology,False,False,Technology,Technology,Category,Kingston,04/09/2021,Kingston Digital DataTraveler 8GB USB 2.0,Accessories,19.04
,Technology,False,False,Technology,Technology,Category,Verbatim,04/09/2021,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Accessories,91.96
,Technology,False,False,Technology,Technology,Category,Imation,08/09/2021,Imation Swivel Flash Drive USB flash drive - 8 GB,Accessories,9.096
,Technology,False,False,Technology,Technology,Category,Memorex,08/09/2021,Memorex Micro Travel Drive 32 GB,Accessories,116.832
,Technology,False,False,Technology,Technology,Category,Microsoft,09/09/2021,Microsoft Sculpt Comfort Mouse,Accessories,95.88
,Technology,False,False,Technology,Technology,Category,Plantronics,09/09/2021,Plantronics S12 Corded Telephone Headset System,Accessories,258.696
,Technology,False,False,Technology,Technology,Category,Memorex,10/09/2021,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Accessories,37.056
,Technology,False,False,Technology,Technology,Category,Logitech,14/09/2021,Logitech Wireless Gaming Headset G930,Accessories,895.944
,Technology,False,False,Technology,Technology,Category,Micro Innovations,15/09/2021,Micro Innovations Wireless Classic Keyboard with Mouse,Accessories,59.98
,Technology,False,False,Technology,Technology,Category,Logitech,16/09/2021,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Accessories,47.984
,Technology,False,False,Technology,Technology,Category,Logitech,16/09/2021,Logitech Trackman Marble Mouse,Accessories,71.976
,Technology,False,False,Technology,Technology,Category,Logitech,20/09/2021,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Accessories,59.97
,Technology,False,False,Technology,Technology,Category,Logitech,20/09/2021,"Logitech Wireless Boombox Speaker - portable - wireless, wired",Accessories,212.8
,Technology,False,False,Technology,Technology,Category,SanDisk,20/09/2021,SanDisk Cruzer 64 GB USB Flash Drive,Accessories,72.64
,Technology,False,False,Technology,Technology,Category,Logitech,22/09/2021,Logitech Wireless Marathon Mouse M705,Accessories,79.984
,Technology,False,False,Technology,Technology,Category,WD My Passport,22/09/2021,WD My Passport Ultra 2TB Portable External Hard Drive,Accessories,1071
,Technology,False,False,Technology,Technology,Category,Logitech,25/09/2021,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Accessories,119.96
,Technology,False,False,Technology,Technology,Category,Logitech,29/09/2021,Logitech G700s Rechargeable Gaming Mouse,Accessories,239.976
,Technology,False,False,Technology,Technology,Category,Logitech,03/10/2021,Logitech G19 Programmable Gaming Keyboard,Accessories,371.97
,Technology,False,False,Technology,Technology,Category,Logitech,06/10/2021,Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,Accessories,319.96
,Technology,False,False,Technology,Technology,Category,Imation,12/10/2021,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Accessories,45
,Technology,False,False,Technology,Technology,Category,First Data,30/10/2021,First Data FD10 PIN Pad,Accessories,442.4
,Technology,False,False,Technology,Technology,Category,Memorex,03/11/2021,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",Accessories,40.776
,Technology,False,False,Technology,Technology,Category,SanDisk,04/11/2021,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Accessories,70.72
,Technology,False,False,Technology,Technology,Category,Enermax,05/11/2021,Enermax Aurora Lite Keyboard,Accessories,390.75
,Technology,False,False,Technology,Technology,Category,Maxell,07/11/2021,Maxell CD-R Discs,Accessories,7.88
,Technology,False,False,Technology,Technology,Category,Maxell,09/11/2021,Maxell iVDR EX 500GB Cartridge,Accessories,826.62
,Technology,False,False,Technology,Technology,Category,Verbatim,12/11/2021,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Accessories,18.544
,Technology,False,False,Technology,Technology,Category,KeyTronic,13/11/2021,KeyTronic 6101 Series - Keyboard - Black,Accessories,163.96
,Technology,False,False,Technology,Technology,Category,SanDisk,13/11/2021,SanDisk Cruzer 32 GB USB Flash Drive,Accessories,60.864
,Technology,False,False,Technology,Technology,Category,Logitech,16/11/2021,Logitech Media Keyboard K200,Accessories,139.96
,Technology,False,False,Technology,Technology,Category,Maxell,20/11/2021,Maxell 4.7GB DVD+R 5/Pack,Accessories,2.97
,Technology,False,False,Technology,Technology,Category,Logitech,04/12/2021,Logitech G13 Programmable Gameboard with LCD Display,Accessories,255.968
,Technology,False,False,Technology,Technology,Category,Logitech,05/12/2021,Logitech ClearChat Comfort/USB Headset H390,Accessories,205.03
,Technology,False,False,Technology,Technology,Category,Logitech,07/12/2021,Logitech G602 Wireless Gaming Mouse,Accessories,127.984
,Technology,False,False,Technology,Technology,Category,Memorex,10/12/2021,Memorex Froggy Flash Drive 8 GB,Accessories,14.2
,Technology,False,False,Technology,Technology,Category,Maxell,25/12/2021,Maxell 4.7GB DVD-R,Accessories,158.928
,Technology,False,False,Technology,Technology,Category,Memorex,25/12/2021,Memorex Micro Travel Drive 4 GB,Accessories,31.8
,Technology,False,False,Technology,Technology,Category,Hewlett-Packard,08/05/2018,Hewlett Packard LaserJet 3310 Copier,Copiers,1799.97
,Technology,False,False,Technology,Technology,Category,Canon,06/07/2018,Canon Imageclass D680 Copier / Fax,Copiers,559.992
,Technology,False,False,Technology,Technology,Category,Sharp,01/12/2018,Sharp 1540cs Digital Laser Copier,Copiers,659.988
,Technology,False,False,Technology,Technology,Category,Canon,09/12/2018,Canon PC940 Copier,Copiers,1079.976
,Technology,False,False,Technology,Technology,Category,Sharp,08/05/2019,Sharp AL-1530CS Digital Copier,Copiers,2799.944
,Technology,False,False,Technology,Technology,Category,Hewlett-Packard,12/09/2019,Hewlett Packard 310 Color Digital Copier,Copiers,479.984
,Technology,False,False,Technology,Technology,Category,Sharp,14/09/2019,Sharp 1540cs Digital Laser Copier,Copiers,879.984
,Technology,False,False,Technology,Technology,Category,Hewlett-Packard,10/12/2019,Hewlett Packard 610 Color Digital Copier / Printer,Copiers,799.984
,Technology,False,False,Technology,Technology,Category,Canon,23/05/2020,Canon imageCLASS 2200 Advanced Copier,Copiers,8399.976
,Technology,False,False,Technology,Technology,Category,Canon,30/05/2020,Canon Imageclass D680 Copier / Fax,Copiers,839.988
,Technology,False,False,Technology,Technology,Category,Hewlett-Packard,25/07/2020,Hewlett Packard LaserJet 3310 Copier,Copiers,1439.976
,Technology,False,False,Technology,Technology,Category,Hewlett-Packard,04/10/2020,Hewlett Packard LaserJet 3310 Copier,Copiers,5399.91
,Technology,False,False,Technology,Technology,Category,Sharp,14/11/2020,Sharp AL-1530CS Digital Copier,Copiers,1199.976
,Technology,False,False,Technology,Technology,Category,Brother,06/12/2020,Brother DCP1000 Digital 3 in 1 Multifunction Machine,Copiers,479.984
,Technology,False,False,Technology,Technology,Category,Hewlett-Packard,23/12/2020,Hewlett Packard 610 Color Digital Copier / Printer,Copiers,1999.96
,Technology,False,False,Technology,Technology,Category,Canon,18/07/2021,Canon PC-428 Personal Copier,Copiers,599.97
,Technology,False,False,Technology,Technology,Category,Canon,22/10/2021,Canon imageCLASS 2200 Advanced Copier,Copiers,11199.968
,Technology,False,False,Technology,Technology,Category,Hewlett-Packard,16/11/2021,Hewlett Packard 610 Color Digital Copier / Printer,Copiers,899.982
,Technology,False,False,Technology,Technology,Category,Canon,17/11/2021,Canon imageCLASS 2200 Advanced Copier,Copiers,10499.97
,Technology,False,False,Technology,Technology,Category,Canon,14/12/2021,Canon PC1080F Personal Copier,Copiers,1199.98
,Technology,False,False,Technology,Technology,Category,Texas Instruments,17/06/2018,Texas Instruments TI-34 Scientific Calculator,Machines,65.97
