SongID,TimeStamp_Central,Performer,Album,Song,TimeStamp_UTC
HOLD YAHRocstrong,1/10/2018 1:47:00 PM,Rocstrong,Hold Yah,HOLD YAH,1/10/2018 7:47:00 PM
Darlin'Houndmouth,1/10/2018 1:43:00 PM,Houndmouth,Little Neon Limelight,Darlin',1/10/2018 7:43:00 PM
No Sugar In My CoffeeCaught a Ghost,1/10/2018 1:39:00 PM,Caught a Ghost,Human Nature,No Sugar In My Coffee,1/10/2018 7:39:00 PM
Something To Talk AboutBonnie Raitt,1/10/2018 1:28:00 PM,Bonnie Raitt,Luck Of The Draw,Something To Talk About,1/10/2018 7:28:00 PM
I Mean SomethingPeaches,1/10/2018 1:23:00 PM,Peaches,RUB,I Mean Something,1/10/2018 7:23:00 PM
Then Came the MorningThe Lone Bellow,1/10/2018 1:19:00 PM,The Lone Bellow,Then Came the Morning,Then Came the Morning,1/10/2018 7:19:00 PM
Tokyo SunriseLP,1/10/2018 1:14:00 PM,LP,Forever for Now,Tokyo Sunrise,1/10/2018 7:14:00 PM
One TimeMarian Hill,1/10/2018 1:11:00 PM,Marian Hill,Sway,One Time,1/10/2018 7:11:00 PM
I Will Possess Your Heart - Radio EditDeath Cab for Cutie,1/10/2018 1:04:00 PM,Death Cab for Cutie,Narrow Stairs,I Will Possess Your Heart - Radio Edit,1/10/2018 7:04:00 PM
Ignition (Remix)The Wind and the Wave,1/10/2018 1:01:00 PM,The Wind and the Wave,Covers One,Ignition (Remix),1/10/2018 7:01:00 PM
Electric LoveBØRNS,1/10/2018 12:57:00 PM,BØRNS,Dopamine,Electric Love,1/10/2018 6:57:00 PM
S.O.B.Nathaniel Rateliff & the Night Sweats,1/10/2018 12:33:00 PM,Nathaniel Rateliff & the Night Sweats,S.O.B.,S.O.B.,1/10/2018 6:33:00 PM
Stay (with Alessia Cara)Zedd,1/10/2018 12:28:00 PM,Zedd,Stay,Stay (with Alessia Cara),1/10/2018 6:28:00 PM
Pot Roast And KissesThe Reverend Peyton's Big Damn Band,1/10/2018 12:23:00 PM,The Reverend Peyton's Big Damn Band,So Delicious,Pot Roast And Kisses,1/10/2018 6:23:00 PM
Try a Little TendernessOtis Redding,1/10/2018 12:20:00 PM,Otis Redding,The Dictionary of Soul,Try a Little Tenderness,1/10/2018 6:20:00 PM
The RiverSon Little,1/10/2018 12:16:00 PM,Son Little,Son Little (Deluxe Edition),The River,1/10/2018 6:16:00 PM
We Don't Have to Take Our Clothes OffElla Eyre,1/10/2018 12:10:00 PM,Ella Eyre,Ella Eyre,We Don't Have to Take Our Clothes Off,1/10/2018 6:10:00 PM
Getting Ready To Get DownJosh Ritter,1/10/2018 12:07:00 PM,Josh Ritter,Sermon on the Rocks,Getting Ready To Get Down,1/10/2018 6:07:00 PM
I Feel A Sin Comin' OnPistol Annies,1/10/2018 12:04:00 PM,Pistol Annies,Annie Up,I Feel A Sin Comin' On,1/10/2018 6:04:00 PM
Ignition (Remix)R. Kelly,1/10/2018 11:57:00 AM,R. Kelly,The Essential R. Kelly,Ignition (Remix),1/10/2018 5:57:00 PM
PonyPretty Sister,1/10/2018 11:53:00 AM,Pretty Sister,Now // Later,Pony,1/10/2018 5:53:00 PM
Love & War - DOLF RemixYellow Claw,1/10/2018 11:48:00 AM,Yellow Claw,Love & War (feat. Yade Lauren) [Remixes],Love & War - DOLF Remix,1/10/2018 5:48:00 PM
Death & TaxesDaniel Caesar,1/10/2018 11:43:00 AM,Daniel Caesar,Pilgrim's Paradise,Death & Taxes,1/10/2018 5:43:00 PM
Feeling GoodAvicii,1/10/2018 11:39:00 AM,Avicii,Feeling Good,Feeling Good,1/10/2018 5:39:00 PM
The RiverSon Little,1/10/2018 11:35:00 AM,Son Little,Son Little (Deluxe Edition),The River,1/10/2018 5:35:00 PM
Still Crazy After All These YearsPaul Simon,1/10/2018 11:29:00 AM,Paul Simon,Still Crazy After All These Years,Still Crazy After All These Years,1/10/2018 5:29:00 PM
TortureEric Krasno,1/10/2018 11:25:00 AM,Eric Krasno,Blood from a Stone,Torture,1/10/2018 5:25:00 PM
Girl CrushLittle Big Town,1/10/2018 11:22:00 AM,Little Big Town,Pain Killer,Girl Crush,1/10/2018 5:22:00 PM
Secret GardenSway Clarke,1/10/2018 11:18:00 AM,Sway Clarke,Secret Garden,Secret Garden,1/10/2018 5:18:00 PM
Fool For LoveLord Huron,1/10/2018 11:12:00 AM,Lord Huron,Strange Trails,Fool For Love,1/10/2018 5:12:00 PM
Ain't No Rest for the WickedLennon & Maisy,1/10/2018 11:09:00 AM,Lennon & Maisy,Ain't No Rest for the Wicked,Ain't No Rest for the Wicked,1/10/2018 5:09:00 PM
ChandelierTwisted Measure,1/10/2018 11:05:00 AM,Twisted Measure,Chandelier,Chandelier,1/10/2018 5:05:00 PM
Fade AwayRebelution,1/10/2018 11:01:00 AM,Rebelution,Count Me In,Fade Away,1/10/2018 5:01:00 PM
Your Love Will Blow Me Away When My Heart AchesSon Little,1/10/2018 10:58:00 AM,Son Little,Things I Forgot,Your Love Will Blow Me Away When My Heart Aches,1/10/2018 4:58:00 PM
VulturesHxV,1/10/2018 10:52:00 AM,HxV,Vultures,Vultures,1/10/2018 4:52:00 PM
CitizensAlice Russell,1/10/2018 10:50:00 AM,Alice Russell,To Dust,Citizens,1/10/2018 4:50:00 PM
Feel Good Inc.Gorillaz,1/10/2018 10:46:00 AM,Gorillaz,Demon Days,Feel Good Inc.,1/10/2018 4:46:00 PM
Sign of the TimesHarry Styles,1/10/2018 10:40:00 AM,Harry Styles,Sign of the Times,Sign of the Times,1/10/2018 4:40:00 PM
RumBrothers Osborne,1/10/2018 10:35:00 AM,Brothers Osborne,Pawn Shop,Rum,1/10/2018 4:35:00 PM
Bad IntentionsNiykee Heaton,1/10/2018 10:32:00 AM,Niykee Heaton,Bad Intentions,Bad Intentions,1/10/2018 4:32:00 PM
Guys My AgeHey Violet,1/10/2018 10:29:00 AM,Hey Violet,Guys My Age,Guys My Age,1/10/2018 4:29:00 PM
Sorry Not SorryDemi Lovato,1/10/2018 10:25:00 AM,Demi Lovato,Sorry Not Sorry,Sorry Not Sorry,1/10/2018 4:25:00 PM
LOVE. FEAT. ZACARI.Kendrick Lamar,1/10/2018 10:21:00 AM,Kendrick Lamar,DAMN.,LOVE. FEAT. ZACARI.,1/10/2018 4:21:00 PM
Shape of YouEd Sheeran,1/10/2018 10:17:00 AM,Ed Sheeran,Shape of You,Shape of You,1/10/2018 4:17:00 PM
Feel It StillPortugal. The Man,1/10/2018 10:14:00 AM,Portugal. The Man,Feel It Still,Feel It Still,1/10/2018 4:14:00 PM
New RulesDua Lipa,1/10/2018 10:11:00 AM,Dua Lipa,Dua Lipa,New Rules,1/10/2018 4:11:00 PM
Bodak YellowCardi B,1/10/2018 10:06:00 AM,Cardi B,Bodak Yellow,Bodak Yellow,1/10/2018 4:06:00 PM
MotorSportMigos,1/10/2018 10:03:00 AM,Migos,MotorSport,MotorSport,1/10/2018 4:03:00 PM
Too Good at GoodbyesSam Smith,1/10/2018 9:59:00 AM,Sam Smith,Too Good at Goodbyes,Too Good at Goodbyes,1/10/2018 3:59:00 PM
Bad at LoveHalsey,1/10/2018 9:56:00 AM,Halsey,hopeless fountain kingdom (Deluxe),Bad at Love,1/10/2018 3:56:00 PM
No LimitG-Eazy,1/10/2018 9:52:00 AM,G-Eazy,No Limit,No Limit,1/10/2018 3:52:00 PM
ThunderImagine Dragons,1/10/2018 9:48:00 AM,Imagine Dragons,Thunder,Thunder,1/10/2018 3:48:00 PM
rockstarPost Malone,1/10/2018 9:44:00 AM,Post Malone,rockstar,rockstar,1/10/2018 3:44:00 PM
HavanaCamila Cabello,1/10/2018 9:41:00 AM,Camila Cabello,Havana,Havana,1/10/2018 3:41:00 PM
PerfectEd Sheeran,1/10/2018 9:37:00 AM,Ed Sheeran,÷ (Deluxe),Perfect,1/10/2018 3:37:00 PM
Shout At The DevilMotley Crue,1/10/2018 8:35:00 AM,Motley Crue,Shout at the Devil,Shout At The Devil,1/10/2018 2:35:00 PM
Love & War - DOLF RemixYellow Claw,1/9/2018 8:02:00 PM,Yellow Claw,Love & War (feat. Yade Lauren) [Remixes],Love & War - DOLF Remix,1/10/2018 2:02:00 AM
Got ItMarian Hill,1/9/2018 7:59:00 PM,Marian Hill,Sway,Got It,1/10/2018 1:59:00 AM
Not My DayKeith James,1/9/2018 7:56:00 PM,Keith James,Not My Day,Not My Day,1/10/2018 1:56:00 AM
Love's On FireNikki Lane,1/9/2018 7:52:00 PM,Nikki Lane,All or Nothin' (Deluxe Edition),Love's On Fire,1/10/2018 1:52:00 AM
KodachromePaul Simon,1/9/2018 7:49:00 PM,Paul Simon,There Goes Rhymin' Simon,Kodachrome,1/10/2018 1:49:00 AM
Turtles All The Way DownSturgill Simpson,1/9/2018 7:44:00 PM,Sturgill Simpson,Metamodern Sounds In Country Music,Turtles All The Way Down,1/10/2018 1:44:00 AM
BansheeKendra Morris,1/9/2018 7:41:00 PM,Kendra Morris,Banshee,Banshee,1/10/2018 1:41:00 AM
300 M.P.H. Torrential Outpour BluesThe White Stripes,1/9/2018 5:06:00 PM,The White Stripes,Under Great White Northern Lights,300 M.P.H. Torrential Outpour Blues,1/9/2018 11:06:00 PM
Latch (feat. Sam Smith)Disclosure,1/9/2018 5:06:00 PM,Disclosure,Billboard Hot 100,Latch (feat. Sam Smith),1/9/2018 11:06:00 PM
MapsMaroon 5,1/9/2018 5:01:00 PM,Maroon 5,Billboard HOT 100,Maps,1/9/2018 11:01:00 PM
Your Future is Not Mine (Illangelo Remix) [feat. Joseph of Mercury]Daisy,1/9/2018 4:30:00 PM,Daisy,Your Future is Not Mine (Illangelo Remix) [feat. Joseph of Mercury],Your Future is Not Mine (Illangelo Remix) [feat. Joseph of Mercury],1/9/2018 10:30:00 PM
MagentaDeqn Sue,1/9/2018 4:26:00 PM,Deqn Sue,Zeitgeist,Magenta,1/9/2018 10:26:00 PM
Hit 'Em Up StyleCarolina Chocolate Drops,1/9/2018 4:22:00 PM,Carolina Chocolate Drops,Genuine Negro Jig,Hit 'Em Up Style,1/9/2018 10:22:00 PM
So Many PlacesVokab Kompany,1/9/2018 4:18:00 PM,Vokab Kompany,VKCE,So Many Places,1/9/2018 10:18:00 PM
Long LiveDevan DuBois,1/9/2018 4:09:00 PM,Devan DuBois,Le Fou,Long Live,1/9/2018 10:09:00 PM
FanfareMagic City Hippies,1/9/2018 4:05:00 PM,Magic City Hippies,Hippie Castle - EP,Fanfare,1/9/2018 10:05:00 PM
Everything About YouUgly Kid Joe,1/9/2018 4:01:00 PM,Ugly Kid Joe,As Ugly As It Gets: The Very Best Of,Everything About You,1/9/2018 10:01:00 PM
Ignition (Remix)R. Kelly,1/9/2018 3:58:00 PM,R. Kelly,The R. In R&B Collection: Volume 1,Ignition (Remix),1/9/2018 9:58:00 PM
Come on in My KitchenWhitehorse,1/9/2018 3:50:00 PM,Whitehorse,The Northern South Vol. 1,Come on in My Kitchen,1/9/2018 9:50:00 PM
Grizzly BearAngus & Julia Stone,1/9/2018 3:46:00 PM,Angus & Julia Stone,Angus & Julia Stone (Deluxe),Grizzly Bear,1/9/2018 9:46:00 PM
On The RunThe Jompson Brothers,1/9/2018 3:41:00 PM,The Jompson Brothers,The Jompson Brothers,On The Run,1/9/2018 9:41:00 PM
Ramalama (Bang Bang)Róisín Murphy,1/9/2018 3:37:00 PM,Róisín Murphy,Ruby Blue,Ramalama (Bang Bang),1/9/2018 9:37:00 PM
HoneymoonThe Teskey Brothers,1/9/2018 3:24:00 PM,The Teskey Brothers,Half Mile Harvest,Honeymoon,1/9/2018 9:24:00 PM
Chop Suey!System of a Down,1/9/2018 3:20:00 PM,System of a Down,Toxicity,Chop Suey!,1/9/2018 9:20:00 PM
All The TimeBahamas,1/9/2018 3:16:00 PM,Bahamas,Bahamas is Afie,All The Time,1/9/2018 9:16:00 PM
Burn With MeWhilk & Misky,1/9/2018 3:12:00 PM,Whilk & Misky,Burn With Me,Burn With Me,1/9/2018 9:12:00 PM
Side to SideAriana Grande,1/9/2018 3:07:00 PM,Ariana Grande,Dangerous Woman,Side to Side,1/9/2018 9:07:00 PM
Not FallingMudvayne,1/9/2018 3:03:00 PM,Mudvayne,The End of All Things to Come,Not Falling,1/9/2018 9:03:00 PM
FirstCold War Kids,1/9/2018 2:59:00 PM,Cold War Kids,Hold My Home,First,1/9/2018 8:59:00 PM
Change The ChannelFrancesco Yates,1/9/2018 2:55:00 PM,Francesco Yates,Francesco Yates,Change The Channel,1/9/2018 8:55:00 PM
You Don’t Love Me Like You ShouldHey Violet,1/9/2018 1:33:00 PM,Hey Violet,I Can Feel It,You Don’t Love Me Like You Should,1/9/2018 7:33:00 PM
Hold Me DownHalsey,1/9/2018 1:26:00 PM,Halsey,BADLANDS (Deluxe),Hold Me Down,1/9/2018 7:26:00 PM
Crying in the ClubCamila Cabello,1/9/2018 1:23:00 PM,Camila Cabello,Crying in the Club,Crying in the Club,1/9/2018 7:23:00 PM
One Two StepCiara,1/9/2018 1:18:00 PM,Ciara,Goodies,One Two Step,1/9/2018 7:18:00 PM
FancyIggy Azalea,1/9/2018 1:14:00 PM,Iggy Azalea,The New Classic (Deluxe Version),Fancy,1/9/2018 7:14:00 PM
BaconNick Jonas,1/9/2018 1:11:00 PM,Nick Jonas,Last Year Was Complicated,Bacon,1/9/2018 7:11:00 PM
Mmm Yeah (feat. Pitbull)Austin Mahone,1/9/2018 1:08:00 PM,Austin Mahone,The Secret,Mmm Yeah (feat. Pitbull),1/9/2018 7:08:00 PM
I'm Not The Only One (Sam Smith Cover) - Live From Spotify LondonDua Lipa,1/9/2018 1:04:00 PM,Dua Lipa,Spotify Session,I'm Not The Only One (Sam Smith Cover) - Live From Spotify London,1/9/2018 7:04:00 PM
Love on the BrainRihanna,1/9/2018 12:59:00 PM,Rihanna,ANTI,Love on the Brain,1/9/2018 6:59:00 PM
You Got LuckyTom Petty and The Heartbreakers,1/9/2018 12:50:00 PM,Tom Petty and The Heartbreakers,Greatest Hits,You Got Lucky,1/9/2018 6:50:00 PM
Dirty LaundryDon Henley,1/9/2018 12:45:00 PM,Don Henley,I Can't Stand Still,Dirty Laundry,1/9/2018 6:45:00 PM
You Don't Have To Cry - RemasteredCrosby Stills & Nash,1/9/2018 12:42:00 PM,Crosby Stills & Nash,Crosby Stills & Nash [with Bonus Tracks],You Don't Have To Cry - Remastered,1/9/2018 6:42:00 PM
BodhisattvaSteely Dan,1/9/2018 12:35:00 PM,Steely Dan,Countdown To Ecstasy,Bodhisattva,1/9/2018 6:35:00 PM
Since I Lost YouGenesis,1/9/2018 12:31:00 PM,Genesis,We Can't Dance,Since I Lost You,1/9/2018 6:31:00 PM
We Didn't Start the FireBilly Joel,1/9/2018 12:26:00 PM,Billy Joel,Storm Front,We Didn't Start the Fire,1/9/2018 6:26:00 PM
Big GeneratorYes,1/9/2018 12:22:00 PM,Yes,Big Generator,Big Generator,1/9/2018 6:22:00 PM
Sympathy for the DevilThe Rolling Stones,1/9/2018 12:14:00 PM,The Rolling Stones,Beggars Banquet,Sympathy for the Devil,1/9/2018 6:14:00 PM
Baba O'RileyThe Who,1/9/2018 12:09:00 PM,The Who,Who's Next (Deluxe Edition),Baba O'Riley,1/9/2018 6:09:00 PM
Rock and Roll DoctorLittle Feat,1/9/2018 12:06:00 PM,Little Feat,Feats Don't Fail Me Now,Rock and Roll Doctor,1/9/2018 6:06:00 PM
Shakin' All OverThe Guess Who,1/9/2018 12:02:00 PM,The Guess Who,Shakin' All Over,Shakin' All Over,1/9/2018 6:02:00 PM
You Don't Know How It FeelsTom Petty,1/9/2018 11:56:00 AM,Tom Petty,Wildflowers,You Don't Know How It Feels,1/9/2018 5:56:00 PM
SidewaysSantana,1/9/2018 11:51:00 AM,Santana,Shaman,Sideways,1/9/2018 5:51:00 PM
Heart And Soul - 2006 Digital RemasterHuey Lewis & The News,1/9/2018 11:47:00 AM,Huey Lewis & The News,Greatest Hits: Huey Lewis And The News,Heart And Soul - 2006 Digital Remaster,1/9/2018 5:47:00 PM
When The World Is Running Down You Make The Best Of What's Still Around - Remastered 2003The Police,1/9/2018 11:44:00 AM,The Police,Zenyatta Mondatta,When The World Is Running Down You Make The Best Of What's Still Around - Remastered 2003,1/9/2018 5:44:00 PM
Burnin' for YouBlue Öyster Cult,1/9/2018 11:38:00 AM,Blue Öyster Cult,Fire of Unknown Origin,Burnin' for You,1/9/2018 5:38:00 PM
Silver Blue & Gold - RemasteredBad Company,1/9/2018 11:33:00 AM,Bad Company,Run With The Pack (Remastered),Silver Blue & Gold - Remastered,1/9/2018 5:33:00 PM
After the Thrill Is GoneEagles,1/9/2018 11:29:00 AM,Eagles,The Very Best of the Eagles (remastered),After the Thrill Is Gone,1/9/2018 5:29:00 PM
KodachromePaul Simon,1/9/2018 11:25:00 AM,Paul Simon,There Goes Rhymin' Simon,Kodachrome,1/9/2018 5:25:00 PM
Travelin' Man - Live In Detroit/1975Bob Seger,1/9/2018 11:19:00 AM,Bob Seger,'Live' Bullet,Travelin' Man - Live In Detroit/1975,1/9/2018 5:19:00 PM
When It's LoveVan Halen,1/9/2018 11:13:00 AM,Van Halen,Best of Volume 1,When It's Love,1/9/2018 5:13:00 PM
The Ballad Of The Jersey WivesJeff Beck,1/9/2018 11:09:00 AM,Jeff Beck,Loud Hailer,The Ballad Of The Jersey Wives,1/9/2018 5:09:00 PM
U Get Me HighTom Petty and The Heartbreakers,1/9/2018 11:04:00 AM,Tom Petty and The Heartbreakers,Hypnotic Eye,U Get Me High,1/9/2018 5:04:00 PM
You Really Got Me - Mono MixThe Kinks,1/9/2018 11:02:00 AM,The Kinks,Kinks (Deluxe Edition),You Really Got Me - Mono Mix,1/9/2018 5:02:00 PM
Do It AgainSteely Dan,1/9/2018 10:56:00 AM,Steely Dan,Showbiz Kids: The Steely Dan Story 1972 - 1980 (Remastered),Do It Again,1/9/2018 4:56:00 PM
SurrenderCheap Trick,1/9/2018 10:51:00 AM,Cheap Trick,Heaven Tonight,Surrender,1/9/2018 4:51:00 PM
Missed OpportunityHall & Oates,1/9/2018 10:45:00 AM,Hall & Oates,Ooh Yeah!,Missed Opportunity,1/9/2018 4:45:00 PM
Black DogLed Zeppelin,1/9/2018 10:40:00 AM,Led Zeppelin,Led Zeppelin IV (Remastered Version),Black Dog,1/9/2018 4:40:00 PM
Leave It - Single Remix VersionYes,1/9/2018 10:36:00 AM,Yes,90125 (Deluxe Version),Leave It - Single Remix Version,1/9/2018 4:36:00 PM
Dreams - 2004 Remastered EditionFleetwood Mac,1/9/2018 10:32:00 AM,Fleetwood Mac,Rumours (Super Deluxe),Dreams - 2004 Remastered Edition,1/9/2018 4:32:00 PM
Miss You - RemasteredThe Rolling Stones,1/9/2018 10:21:00 AM,The Rolling Stones,Some Girls,Miss You - Remastered,1/9/2018 4:21:00 PM
Tonight Tonight TonightGenesis,1/9/2018 10:17:00 AM,Genesis,Invisible Touch,Tonight Tonight Tonight,1/9/2018 4:17:00 PM
Carry on Wayward SonKansas,1/9/2018 10:11:00 AM,Kansas,Leftoverture,Carry on Wayward Son,1/9/2018 4:11:00 PM
Takin' Care Of BusinessBachman-Turner Overdrive,1/9/2018 10:05:00 AM,Bachman-Turner Overdrive,Gold,Takin' Care Of Business,1/9/2018 4:05:00 PM
Young Turks - 2008 Remastered VersionRod Stewart,1/9/2018 10:00:00 AM,Rod Stewart,The Definitive Rod Stewart,Young Turks - 2008 Remastered Version,1/9/2018 4:00:00 PM
It Keeps You Runnin' - Remastered VersionThe Doobie Brothers,1/9/2018 9:56:00 AM,The Doobie Brothers,Best of The Doobies,It Keeps You Runnin' - Remastered Version,1/9/2018 3:56:00 PM
(Don't Fear) The ReaperBlue Öyster Cult,1/9/2018 9:49:00 AM,Blue Öyster Cult,Agents of Fortune,(Don't Fear) The Reaper,1/9/2018 3:49:00 PM
Slammin'Huey Lewis & The News,1/9/2018 9:44:00 AM,Huey Lewis & The News,Small World,Slammin',1/9/2018 3:44:00 PM
SmoothSantana,1/9/2018 9:39:00 AM,Santana,Ultimate Santana,Smooth,1/9/2018 3:39:00 PM
Evil WomanElectric Light Orchestra,1/9/2018 9:35:00 AM,Electric Light Orchestra,The Essential Electric Light Orchestra,Evil Woman,1/9/2018 3:35:00 PM
You Can Call Me AlPaul Simon,1/9/2018 9:29:00 AM,Paul Simon,The Essential Paul Simon,You Can Call Me Al,1/9/2018 3:29:00 PM
Little MarthaThe Allman Brothers Band,1/9/2018 9:27:00 AM,The Allman Brothers Band,Eat A Peach (Deluxe Edition),Little Martha,1/9/2018 3:27:00 PM
Strange BrewCream,1/9/2018 9:24:00 AM,Cream,Disraeli Gears (Remastered),Strange Brew,1/9/2018 3:24:00 PM
Love Reign o'er MeThe Who,1/9/2018 9:18:00 AM,The Who,Quadrophenia (Super Deluxe Edition),Love Reign o'er Me,1/9/2018 3:18:00 PM
Jungle LoveSteve Miller Band,1/9/2018 9:15:00 AM,Steve Miller Band,Greatest Hits 1974-78,Jungle Love,1/9/2018 3:15:00 PM
Beautiful Loser - Live In Detroit/1975Bob Seger,1/9/2018 9:10:00 AM,Bob Seger,'Live' Bullet,Beautiful Loser - Live In Detroit/1975,1/9/2018 3:10:00 PM
Yer So BadTom Petty,1/9/2018 9:07:00 AM,Tom Petty,Full Moon Fever,Yer So Bad,1/9/2018 3:07:00 PM
BreakdownTom Petty and The Heartbreakers,1/9/2018 9:04:00 AM,Tom Petty and The Heartbreakers,Tom Petty & The Heartbreakers,Breakdown,1/9/2018 3:04:00 PM
Live In The DarkJeff Beck,1/9/2018 9:00:00 AM,Jeff Beck,Loud Hailer,Live In The Dark,1/9/2018 3:00:00 PM
Owner of a Lonely HeartYes,1/9/2018 8:56:00 AM,Yes,90125 (Deluxe Version),Owner of a Lonely Heart,1/9/2018 2:56:00 PM
No Sugar TonightThe Guess Who,1/9/2018 8:49:00 AM,The Guess Who,The Best Of The Guess Who,No Sugar Tonight,1/9/2018 2:49:00 PM
Pink HousesJohn Mellencamp,1/8/2018 5:04:00 PM,John Mellencamp,The Rolling Stone Magazines 500 Greatest Songs Of All Time,Pink Houses,1/8/2018 11:04:00 PM
The Rain (Supa Dupa Fly)Missy Elliott,1/8/2018 4:59:00 PM,Missy Elliott,Supa Dupa Fly,The Rain (Supa Dupa Fly),1/8/2018 10:59:00 PM
Before The Next Teardrop FallsFreddy Fender,1/8/2018 4:55:00 PM,Freddy Fender,Time Life Classic Country 1975 - 1979,Before The Next Teardrop Falls,1/8/2018 10:55:00 PM
CenturiesFall Out Boy,1/8/2018 4:53:00 PM,Fall Out Boy,Billboard Hot 100,Centuries,1/8/2018 10:53:00 PM
Lets Get It OnMarvin Gaye,1/8/2018 4:49:00 PM,Marvin Gaye,The Rolling Stone Magazines 500 Greatest Songs Of All Time,Lets Get It On,1/8/2018 10:49:00 PM
Any Colour You LikePink Floyd,1/8/2018 4:43:00 PM,Pink Floyd,Dark Side of the Moon,Any Colour You Like,1/8/2018 10:43:00 PM
You Don’t Love Me Like You ShouldHey Violet,1/8/2018 4:33:00 PM,Hey Violet,I Can Feel It,You Don’t Love Me Like You Should,1/8/2018 10:33:00 PM
Hold Me DownHalsey,1/8/2018 4:30:00 PM,Halsey,BADLANDS (Deluxe),Hold Me Down,1/8/2018 10:30:00 PM
Crying in the ClubCamila Cabello,1/8/2018 4:26:00 PM,Camila Cabello,Crying in the Club,Crying in the Club,1/8/2018 10:26:00 PM
One Two StepCiara,1/8/2018 4:21:00 PM,Ciara,Goodies,One Two Step,1/8/2018 10:21:00 PM
Grease (Is The Word) - From Grease Live! Music from the Television EventJessie J,1/8/2018 4:18:00 PM,Jessie J,Grease (Is the Word) [Music From the Television Event],Grease (Is The Word) - From Grease Live! Music from the Television Event,1/8/2018 10:18:00 PM
FancyIggy Azalea,1/8/2018 4:15:00 PM,Iggy Azalea,The New Classic (Deluxe Version),Fancy,1/8/2018 10:15:00 PM
BaconNick Jonas,1/8/2018 4:12:00 PM,Nick Jonas,Last Year Was Complicated,Bacon,1/8/2018 10:12:00 PM
Mmm Yeah (feat. Pitbull)Austin Mahone,1/8/2018 4:08:00 PM,Austin Mahone,The Secret,Mmm Yeah (feat. Pitbull),1/8/2018 10:08:00 PM
I'm Not The Only One (Sam Smith Cover) - Live From Spotify LondonDua Lipa,1/8/2018 4:03:00 PM,Dua Lipa,Spotify Session,I'm Not The Only One (Sam Smith Cover) - Live From Spotify London,1/8/2018 10:03:00 PM
Love on the BrainRihanna,1/8/2018 3:59:00 PM,Rihanna,ANTI,Love on the Brain,1/8/2018 9:59:00 PM
The CureLady Gaga,1/8/2018 3:56:00 PM,Lady Gaga,The Cure,The Cure,1/8/2018 9:56:00 PM
Piano & IAlicia Keys,1/8/2018 3:54:00 PM,Alicia Keys,Songs in A Minor,Piano & I,1/8/2018 9:54:00 PM
PILLOWTALKZayn,1/8/2018 3:50:00 PM,Zayn,Mind of Mine (Deluxe Edition),PILLOWTALK,1/8/2018 9:50:00 PM
Think Before I TalkAstrid S,1/8/2018 3:46:00 PM,Astrid S,Think Before I Talk,Think Before I Talk,1/8/2018 9:46:00 PM
Family PortraitP!nk,1/8/2018 3:41:00 PM,P!nk,M!ssundaztood,Family Portrait,1/8/2018 9:41:00 PM
ConfidentDemi Lovato,1/8/2018 3:38:00 PM,Demi Lovato,Confident (Deluxe Edition),Confident,1/8/2018 9:38:00 PM
Bad Bitch (feat. Ty Dolla $ign)Bebe Rexha,1/8/2018 3:34:00 PM,Bebe Rexha,All Your Fault: Pt. 1,Bad Bitch (feat. Ty Dolla $ign),1/8/2018 9:34:00 PM
(Sittin' On) The Dock of the BaySara Bareilles,1/8/2018 3:28:00 PM,Sara Bareilles,Brave Enough: Live at the Variety Playhouse,(Sittin' On) The Dock of the Bay,1/8/2018 9:28:00 PM
Ain't My FaultZara Larsson,1/8/2018 3:24:00 PM,Zara Larsson,So Good,Ain't My Fault,1/8/2018 9:24:00 PM
HereAlessia Cara,1/8/2018 3:21:00 PM,Alessia Cara,Know-It-All (Deluxe),Here,1/8/2018 9:21:00 PM
Same Old LoveSelena Gomez,1/8/2018 3:17:00 PM,Selena Gomez,Revival (Deluxe),Same Old Love,1/8/2018 9:17:00 PM
OnlyNicki Minaj,1/8/2018 3:10:00 PM,Nicki Minaj,The Pinkprint (Deluxe),Only,1/8/2018 9:10:00 PM
MalibuMiley Cyrus,1/8/2018 3:07:00 PM,Miley Cyrus,Younger Now,Malibu,1/8/2018 9:07:00 PM
HavanaCamila Cabello,1/8/2018 3:03:00 PM,Camila Cabello,Havana,Havana,1/8/2018 9:03:00 PM
Bad at LoveHalsey,1/8/2018 3:00:00 PM,Halsey,hopeless fountain kingdom (Deluxe),Bad at Love,1/8/2018 9:00:00 PM
Tessellate - Bonus TrackEllie Goulding,1/8/2018 2:54:00 PM,Ellie Goulding,Halcyon Days,Tessellate - Bonus Track,1/8/2018 8:54:00 PM
TroubleIggy Azalea,1/8/2018 2:52:00 PM,Iggy Azalea,Reclassified,Trouble,1/8/2018 8:52:00 PM
ProblemAriana Grande,1/8/2018 2:48:00 PM,Ariana Grande,My Everything (Deluxe),Problem,1/8/2018 8:48:00 PM
BirthdayKaty Perry,1/8/2018 2:45:00 PM,Katy Perry,PRISM (Deluxe),Birthday,1/8/2018 8:45:00 PM
Do It AgainPia Mia,1/8/2018 2:41:00 PM,Pia Mia,Do It Again,Do It Again,1/8/2018 8:41:00 PM
Talk Dirty (feat. 2 Chainz)Jason Derülo,1/8/2018 2:37:00 PM,Jason Derülo,Talk Dirty,Talk Dirty (feat. 2 Chainz),1/8/2018 8:37:00 PM
